Wavelength,Excitation,Emission
586,0,100
583,0,99.90801453
584,0,99.85672521
585,0,99.85293233
587,0,99.75161208
582,0,99.74573732
581,0,99.40268775
588,0,99.3591237
589,0,99.181871
590,0,99.05739678
580,1.573883235,98.59638934
591,0,98.30071545
579,1.708173767,97.69636458
592,0,97.62058495
578,1.847609021,96.79079128
593,0,96.70860568
577,1.97371707,96.3317789
594,0,95.94194486
595,0,95.44777037
576,2.186602904,95.40869384
596,0,95.19607991
575,2.335753311,94.79788032
597,0,94.31275234
574,2.528593935,93.58165372
598,0,93.36842751
599,0,92.53180032
573,2.707372962,92.14816684
600,0,91.3212733
572,2.902969304,90.83589508
601,0,90.16684674
571,3.085820448,89.2851586
602,0,88.87462054
570,3.278463991,87.90199777
603,0,87.24326286
569,3.511989714,86.37131397
604,0,86.06062063
605,0,84.86369543
568,3.72854915,84.65003271
606,0,84.23673222
607,0,83.43247332
567,3.913669969,83.11891358
608,0,81.74506743
566,4.168960889,81.31441534
609,0,80.13775042
565,4.424674521,79.35820785
610,0,78.47718038
564,4.783971343,77.06773457
611,0,76.86210888
612,0,75.57102898
563,5.072613517,75.01213128
613,0,74.25564926
614,0,73.13120411
562,5.395998602,72.84039056
615,0,71.80888139
561,5.75336445,70.94764895
616,0,70.34256197
617,0,68.9109122
560,6.21186625,68.60152313
618,0,67.46238541
559,6.60131748,66.60240586
619,0,66.02939447
620,0,64.78219087
558,7.054287542,64.25279423
621,0,63.39548798
557,7.550798637,62.1594957
622,0,61.79347806
623,0,60.82008484
556,8.018665412,59.95610471
624,0,58.99373331
555,8.665231263,57.78206859
625,0,57.6906129
626,0,56.44926502
554,9.201022608,55.54122742
627,0,55.35727818
628,0,54.06870927
553,9.79676036,53.25375916
629,0,52.93866334
630,0,51.49234451
552,10.45674471,51.22171933
631,0,50.409311
632,0,49.05287547
551,11.05244001,49.01639902
633,0,47.28663619
550,11.85961075,46.86475519
634,0,46.26900245
635,0,44.94362615
549,12.83545511,44.52847061
636,0,43.71261483
637,0,42.66385172
548,13.73951338,42.34023485
638,0,41.5420501
639,0,40.62616256
547,14.55739047,40.2732366
640,0,39.80779189
641,0,38.5284399
546,15.49928559,38.41562132
642,0,37.55327945
545,16.46648939,36.62886362
643,0,36.46061139
644,0,35.58311428
544,17.48757213,34.78247622
645,0,34.45173929
646,0,33.51636283
543,18.49314445,32.88905401
647,0,32.77202665
648,0,31.74443262
649,0,30.83407723
542,19.73739173,30.80034207
650,0,29.73197597
541,20.97473277,28.97259029
651,0,28.83889245
652,0,28.1400798
653,0,27.64037361
540,22.29151921,27.15617711
654,0,26.48939698
655,0,26.01460537
539,23.5649561,25.41362496
656,0,25.21299702
657,0,24.31473183
538,24.84403266,23.72696069
658,0,23.65353345
659,0,22.84955086
660,0,22.20934252
537,26.38745874,22.04451896
661,0,21.67572369
662,0,21.42975952
663,0,20.89590968
664,0,20.69845085
536,27.89916948,20.4557704
665,0,19.78462799
666,0,19.33304964
535,29.34371545,19.12899426
667,0,18.5467533
668,0,18.24332875
669,0,17.67512573
534,30.94860972,17.67327614
670,0,17.41567076
671,0,17.06306652
533,32.66158826,16.26412555
672,0,16.25704589
673,0,15.97315148
674,0,15.40347877
532,34.39386194,14.98241086
675,0,14.92990606
676,0,14.63209583
677,0,14.02695917
531,36.05418441,13.82448941
678,0,13.59693146
679,0,13.32835204
680,0,12.90203971
530,37.77575303,12.72794836
681,0,12.59689993
682,0,12.22053629
683,0,11.98896181
529,39.44239905,11.70535271
684,0,11.54408386
685,0,11.23628838
686,0,11.07906076
528,41.43702959,10.73570912
687,0,10.54513822
688,0,10.32235256
689,0,10.07827518
527,43.28679979,9.800869379
690,0,9.673638373
691,0,9.338024002
692,0,9.184895602
526,45.13509968,8.919722645
693,0,8.900026285
694,0,8.568136979
695,0,8.496258404
696,0,8.18726698
525,47.14077657,8.089255296
697,0,7.910956061
698,0,7.563723748
524,49.18170507,7.365562422
699,0,7.330694988
700,0,7.027394058
523,51.16525311,6.59125385
522,53.16566829,5.965752104
521,55.15255341,5.419581101
520,57.1516533,4.903990888
519,59.30564804,4.418677132
518,61.17410865,3.962901938
517,63.32679828,3.519680578
516,65.64936853,3.121158525
515,67.79542107,2.779007286
514,69.93482134,2.477175124
513,71.8538973,2.224504779
512,73.83428636,1.965984427
511,75.61858012,1.763429174
510,77.48433849,1.554973774
509,79.32576759,1.373073962
508,81.19592821,1.216784482
507,83.17617137,1.077486593
506,85.18070433,0.925631551
505,86.59061364,0.812064033
504,88.25772423,0.691466185
503,90.02485045,0.600433405
502,91.24332407,0.538435505
501,92.51291365,0.476159147
