"start_position  [CDS Start Position (nt)]","ORF_number  [Open Reading Frame]","tir  [Translation Initiation Rate (au)]","dG_total  [Total Gibbs Free Energy Change (kcal/mol)]","dG_mRNA_rRNA  [Gibbs Free Energy Change of mRNA:rRNA complex (kcal/mol)]","dG_spacing  [Gibbs Free Energy Penalty for Non-optimal Spacing (kcal/mol)]","dG_stacking  [Gibbs Free Energy Change of Stacked Nucleotides in Spacer Region (kcal/mol)]","dG_standby  [Gibbs Free Energy Penalty for Ribosome Binding to Standby Site (kcal/mol)]","dG_start  [Gibbs Free Energy Change of mRNA:tRNA complex (kcal/mol)]","dG_mRNA  [Gibbs Free Energy Change of mRNA folded complex (kcal/mol)]","warnings  [Warnings and Errors Issued]"
6,0,0.0004139656558139771,33.12392595859518,-1.2613515001417759,11.9566774682737,0,17.3586,1.81,-3.259999990463257,
12,0,0.12491125174294972,20.43724860953077,-2.4413514476896885,0.6719999999999999,0,17.3586,1.81,-3.690000057220459,
24,0,215.72881482295506,3.874074177366497,-1.0813514333845737,0.005325582140839866,0,4.072800000000001,-2.76,-3.9700000286102295,
36,0,89.10229134575926,5.8388489719270105,-3.5913514238478306,0,0,1.399999976158142,-0.42,-8.3100004196167,
103,1,150.17361365599209,4.678949421346033,-13.641350988733924,0,0,2.9597996471405033,-2.76,-18.200000762939453,
113,2,3.014870716982615,13.363047813212717,-14.081350956547416,2.4,0,1.9435996089935301,-0.42,-23.8799991607666,
117,0,4.448135330777586,12.498849725553237,-14.52135138070897,0,0,2.0168001907348625,1.81,-23.540000915527344,
158,2,25.862434741935047,8.587448597609843,-17.871351097214376,1.525,0,2.0538000000000007,-2.76,-25.81999969482422,
195,0,42.19705598870019,7.499648642909371,-22.001351509678518,2.4,0,0.21679999999999922,1.81,-25.59000015258789,
209,2,4.100671249090546,12.679574544531107,-9.501351628887809,0.005325582140839866,0,2.440000057220459,-0.42,-20.190000534057617,
216,0,5.567621845455536,12.000048447406137,-10.341351304638541,0,0,0.3399996757507324,1.81,-20.170000076293945,
235,1,3.5977999764338424,12.970274668508768,-14.97135118066088,0.005325582140839866,0,2.1398001907348636,1.81,-23.920000076293945,
249,0,0.42860491690484886,17.697673581320046,-15.391351495373405,0.005325582140839866,0,1.320000410079956,1.81,-30.209999084472656,
258,0,6.9621892796867675,11.50337373867631,-16.781351004231134,0.005325582140839866,0,1.5335999999999999,-2.76,-29.6299991607666,
283,1,1.172644363458557,15.461272661024335,-19.991352234470998,0.005325582140839866,0,0.8500003814697266,1.81,-33.119998931884766,
301,1,1.0858462378782885,15.632148266208016,-26.37135127602831,0.288,0,3.8614003051757813,1.81,-36.04999923706055,
321,0,2.150901322923603,14.113350497805918,-23.06135133324877,1.728,0,0,-2.76,-38.33000183105469,
331,1,1.0372432915809777,15.733900563371026,-30.591351334440862,0.288,0,1.837350219345094,-0.42,-44.7400016784668,
337,1,4.761298093398058,12.347675159651047,-31.611351404774343,0.005325582140839866,0,1.2700002193450928,-2.76,-45.70000076293945,
341,2,0.5470372674480957,17.15554696444258,-27.041352186787282,1.152,0,-2.384185791015625e-7,-2.76,-46.38999938964844,
388,1,1.5513963327604074,14.839348088586178,-30.41135114847437,0.288,0,6.1237996948242195,-0.42,-39.47999954223633,
396,0,14.053144516245158,9.942747143256508,-29.451352093804037,0.288,0,1.7698003051757816,-2.76,-40.119998931884766,
405,0,51.1307104857581,7.072947207629525,-30.94135073243395,0.6719999999999999,0,0.03999900817871094,-2.76,-40.119998931884766,
412,1,4.193477830868095,12.629846759402596,-20.731350932705556,0,0,1.0897995231628421,-0.42,-32.66999816894531,
447,0,21.125821988585145,9.036949057757699,-20.491350446331655,0.6719999999999999,0,0.4313990463256836,1.81,-27.520000457763672,
472,1,1.6038602471151595,14.765448828875863,-10.571351323712028,4.032,0,0,-2.76,-24.59000015258789,
501,0,0.06391283856730214,21.926173571783306,-6.821351323712028,0.005325582140839866,0,4.072800000000001,-0.42,-24.719999313354492,
545,2,66.60545019555647,6.485447953879682,-19.98135158835665,0,0,1.0898000000000003,-2.76,-28.729999542236328,
556,1,1.6751251947395749,14.66884842833265,-13.801351342785514,1.525,0,1.5335999999999999,1.81,-23.489999771118164,
562,1,0.6715211440046427,16.699973476415874,-9.801351342785514,0.005325582140839866,0,2.650400000000001,-0.42,-24.299999237060547,
564,0,0.2636528430302265,18.777348504626595,-9.47135141907946,0,0,2.650400000000001,-0.42,-26.079999923706055,
